feature
acc_now_delinq
acc_open_past_24mths
accounts_per_year
active_ratio
annual_inc
available_credit
available_credit_pct
avg_cur_bal
bc_open_to_buy
bc_util
chargeoff_within_12_mths
collections_12_mths_ex_med
credit_history_months
delinq_2yrs
delinq_amnt
delinq_per_account
dti
emp_length
fico_score
home_OTHER
home_OWN
home_RENT
initial_list_status
inq_last_6mths
installment
installment_pct_of_loan
installment_to_income
int_rate
issue_month
issue_year
loan_amnt
loan_to_income
mo_sin_old_il_acct
mo_sin_old_rev_tl_op
mo_sin_rcnt_rev_tl_op
mo_sin_rcnt_tl
mort_acc
mths_since_last_delinq
mths_since_recent_bc
mths_since_recent_inq
num_accts_ever_120_pd
num_actv_bc_tl
num_actv_rev_tl
num_bc_sats
num_bc_tl
num_il_tl
num_op_rev_tl
num_rev_accts
num_rev_tl_bal_gt_0
num_sats
num_tl_120dpd_2m
num_tl_30dpd
num_tl_90g_dpd_24m
num_tl_op_past_12m
open_acc
pct_tl_nvr_dlq
percent_bc_gt_75
pub_rec
pub_rec_bankruptcies
pub_rec_per_account
purpose_credit_card
purpose_debt_consolidation
purpose_educational
purpose_home_improvement
purpose_house
purpose_major_purchase
purpose_medical
purpose_moving
purpose_other
purpose_renewable_energy
purpose_small_business
purpose_vacation
purpose_wedding
revol_bal
revol_bal_to_income
revol_util
state_lgd_rate
sub_grade_encoded
tax_liens
term
tot_coll_amt
tot_cur_bal
tot_hi_cred_lim
total_acc
total_bal_ex_mort
total_bc_limit
total_il_high_credit_limit
total_rev_hi_lim
verif_Source Verified
verif_Verified
